internal_id,id,name,category,URI
397,hsv-api,hsv-api,Standalone software,https://open-archaeo.info/post/hsv-api
399,mask-uav,Mask_UAV,Packages and libraries,https://open-archaeo.info/post/mask-uav
405,sexest,SexEst,Packages and libraries,https://open-archaeo.info/post/sexest
406,web-geochemistry,web_geochemistry,Packages and libraries,https://open-archaeo.info/post/web-geochemistry
407,ithaca,ithaca,Packages and libraries,https://open-archaeo.info/post/ithaca
408,archchron,archchron,Packages and libraries,https://open-archaeo.info/post/archchron
410,c14-date-extractor,c14-date-extractor,Scripts,https://open-archaeo.info/post/c14-date-extractor
411,joint-disease-tool,joint-disease-tool,Packages and libraries,https://open-archaeo.info/post/joint-disease-tool
412,pdf-to-nested-xml,pdf-to-nested-xml,Scripts,https://open-archaeo.info/post/pdf-to-nested-xml
414,archaeo-crf,archaeo-CRF,Packages and libraries,https://open-archaeo.info/post/archaeo-crf
416,chronup,chronup,Packages and libraries,https://open-archaeo.info/post/chronup
417,recmod,recmod,Packages and libraries,https://open-archaeo.info/post/recmod
418,timeperiod2daterange,timeperiod2daterange,Scripts,https://open-archaeo.info/post/timeperiod2daterange
420,fellingdater,fellingDateR,Packages and libraries,https://open-archaeo.info/post/fellingdater
421,rock-art-radnet,rock-art-radnet,Packages and libraries,https://open-archaeo.info/post/rock-art-radnet
422,rock-art-ratopoviz,rock-art-ratopoviz,Packages and libraries,https://open-archaeo.info/post/rock-art-ratopoviz
423,anthrofun,anthroFun,Scripts,https://open-archaeo.info/post/anthrofun
424,arches-via-docker,arches-via-docker,Standalone software,https://open-archaeo.info/post/arches-via-docker
425,shootpoints-web,ShootPoints-Web,Standalone software,https://open-archaeo.info/post/shootpoints-web
426,quantatools,quantatools,Packages and libraries,https://open-archaeo.info/post/quantatools
427,bradypus,BraDypUS,Standalone software,https://open-archaeo.info/post/bradypus
429,archaeoastroinsight,ArchaeoAstroInsight,Packages and libraries,https://open-archaeo.info/post/archaeoastroinsight
430,pleistodist,PleistoDist,Packages and libraries,https://open-archaeo.info/post/pleistodist
431,pleistodistr,PleistoDistR,Packages and libraries,https://open-archaeo.info/post/pleistodistr
432,bioarch-r,BioArch_R,Packages and libraries,https://open-archaeo.info/post/bioarch-r
433,bioprofile,BioProfile,Packages and libraries,https://open-archaeo.info/post/bioprofile
436,tpq-composer,TPQ-Composer,Packages and libraries,https://open-archaeo.info/post/tpq-composer
437,artifacts-analyzer,Artifacts-Analyzer,Packages and libraries,https://open-archaeo.info/post/artifacts-analyzer
439,chronolog,ChronoLog,Standalone software,https://open-archaeo.info/post/chronolog
441,digss,DIGSS,Packages and libraries,https://open-archaeo.info/post/digss
442,archaeosrp,archaeosrp,Packages and libraries,https://open-archaeo.info/post/archaeosrp
443,ancient-artifacts,ancient-artifacts,Packages and libraries,https://open-archaeo.info/post/ancient-artifacts
444,roev,roev,Packages and libraries,https://open-archaeo.info/post/roev
445,aoristic-analysis,aoristic-analysis,Packages and libraries,https://open-archaeo.info/post/aoristic-analysis
446,seahors,SEAHORS,Packages and libraries,https://open-archaeo.info/post/seahors
447,shoredate,shoredate,Packages and libraries,https://open-archaeo.info/post/shoredate
448,civ5-prehistoric,civ5-prehistoric,Standalone software,https://open-archaeo.info/post/civ5-prehistoric
449,archeoviz,archeoViz,Packages and libraries,https://open-archaeo.info/post/archeoviz
