internal_id,id,name,URI
308,day-of-archaeology-archive,Day of Archaeology Archive,https://open-archaeo.info/post/day-of-archaeology-archive
309,tachy2gis,Tachy2GIS,https://open-archaeo.info/post/tachy2gis
310,bioanth,bioanth,https://open-archaeo.info/post/bioanth
311,roman-amphitheaters-roman-amphitheaters,roman-amphitheaters,https://open-archaeo.info/post/roman-amphitheaters-roman-amphitheaters
312,caribbean-14c,caribbean-14C,https://open-archaeo.info/post/caribbean-14c
313,crop-origins-phylo,Crop_Origins_Phylo,https://open-archaeo.info/post/crop-origins-phylo
314,nerd,NERD,https://open-archaeo.info/post/nerd
315,roomaccum,RoomAccum,https://open-archaeo.info/post/roomaccum
316,babylonian-hours,babylonian-hours,https://open-archaeo.info/post/babylonian-hours
317,pe-dictionary,pe-dictionary,https://open-archaeo.info/post/pe-dictionary
318,hammurabi-markov,hammurabi-markov,https://open-archaeo.info/post/hammurabi-markov
319,cleanc14,cleanc14,https://open-archaeo.info/post/cleanc14
320,racisminarchy,racisminarchy,https://open-archaeo.info/post/racisminarchy
321,tachy2gis-arch,Tachy2GIS_arch,https://open-archaeo.info/post/tachy2gis-arch
322,iraq-mortar,Iraq_mortar,https://open-archaeo.info/post/iraq-mortar
323,archaeological-ethics-database,Archaeological Ethics Database,https://open-archaeo.info/post/archaeological-ethics-database
324,fish-vocabularies,FISH Vocabularies,https://open-archaeo.info/post/fish-vocabularies
325,elementsourcing,ElementSourcing,https://open-archaeo.info/post/elementsourcing
326,elemsource,elemSource,https://open-archaeo.info/post/elemsource
327,ceramicapportioning,CeramicApportioning,https://open-archaeo.info/post/ceramicapportioning
328,kairos,kairos,https://open-archaeo.info/post/kairos
329,nexus,nexus,https://open-archaeo.info/post/nexus
330,transmissionbias,TransmissionBias,https://open-archaeo.info/post/transmissionbias
331,skeletal-sex-estimation,skeletal-sex-estimation,https://open-archaeo.info/post/skeletal-sex-estimation
332,long-bone-diaphyseal-csg-toolkit,long-bone-diaphyseal-CSG-Toolkit,https://open-archaeo.info/post/long-bone-diaphyseal-csg-toolkit
333,osteometric-sorting,osteometric-sorting,https://open-archaeo.info/post/osteometric-sorting
334,skullanalyzer,skullanalyzer,https://open-archaeo.info/post/skullanalyzer
335,cranial-sex-estimation-code,cranial-sex-estimation-code,https://open-archaeo.info/post/cranial-sex-estimation-code
336,non-metric-trait-analysis,non-metric-trait-analysis,https://open-archaeo.info/post/non-metric-trait-analysis
337,caa,caa,https://open-archaeo.info/post/caa
338,pta-data,pta_data,https://open-archaeo.info/post/pta-data
339,p2pperm,p2pPerm,https://open-archaeo.info/post/p2pperm
340,near-presence-analysis,Near-Presence-Analysis,https://open-archaeo.info/post/near-presence-analysis
341,arothron,Arothron,https://open-archaeo.info/post/arothron
342,csgr,CSGR,https://open-archaeo.info/post/csgr
343,kriging,kriging,https://open-archaeo.info/post/kriging
344,geostat,Geostat,https://open-archaeo.info/post/geostat
345,spdates,spDates,https://open-archaeo.info/post/spdates
346,rxpand,rxpand,https://open-archaeo.info/post/rxpand
347,katun,katun,https://open-archaeo.info/post/katun
348,maya-calendar,maya-calendar,https://open-archaeo.info/post/maya-calendar
349,chronochrt,chronochrt,https://open-archaeo.info/post/chronochrt
350,3d-libraries-of-ships,3D libraries of ships,https://open-archaeo.info/post/3d-libraries-of-ships
351,arbodat,ArboDat,https://open-archaeo.info/post/arbodat
352,xronos,xronos.R,https://open-archaeo.info/post/xronos
353,electronic-babylonian-literature-project,Electronic Babylonian Literature Project,https://open-archaeo.info/post/electronic-babylonian-literature-project
354,archaeological-catalogue-from-csv-spreadsheet,Archaeological_Catalogue_from_CSV_Spreadsheet,https://open-archaeo.info/post/archaeological-catalogue-from-csv-spreadsheet
355,abc-of-archaeobotanical-open-science,ABC of Archaeobotanical Open Science,https://open-archaeo.info/post/abc-of-archaeobotanical-open-science
356,open-science-in-phytolith-research,Open-Science-in-Phytolith-Research,https://open-archaeo.info/post/open-science-in-phytolith-research
357,isoarch,IsoArcH,https://open-archaeo.info/post/isoarch
358,bridging-the-gap-encode-database,Bridging the Gap ENCODE Database,https://open-archaeo.info/post/bridging-the-gap-encode-database
359,aida,AIDA,https://open-archaeo.info/post/aida
360,intcal,IntCal,https://open-archaeo.info/post/intcal
361,scem,SCEM,https://open-archaeo.info/post/scem
362,marbleplan,marbleplan,https://open-archaeo.info/post/marbleplan
